model,problem,run,latency_ms,tokens,success,http_code
qwen3.5:9b,problem1,1,180007,0,0,200
qwen3.5:9b,problem1,2,97505,0,0,200
qwen3.5:9b,problem1,3,180006,0,0,200
qwen3.5:9b,problem2,1,59357,0,1,200
qwen3.5:9b,problem2,2,120328,0,1,200
qwen3.5:9b,problem2,3,41438,0,1,200
qwen3.5:9b,problem3,1,21306,0,1,200
qwen3.5:9b,problem3,2,35774,0,1,200
qwen3.5:9b,problem3,3,32990,0,1,200
qwen3.5:9b,problem4,1,37286,0,1,200
qwen3.5:9b,problem4,2,40175,0,1,200
qwen3.5:9b,problem4,3,44521,0,1,200
qwen3.5:9b,problem5,1,114041,0,1,200
qwen3.5:9b,problem5,2,169282,0,0,200
qwen3.5:9b,problem5,3,180006,0,0,200
qwen3.6:27b,problem1,1,180016,0,0,200
qwen3.6:27b,problem1,2,180019,0,0,200
qwen3.6:27b,problem1,3,180015,0,0,200
qwen3.6:27b,problem2,1,180008,0,0,200
qwen3.6:27b,problem2,2,180020,0,0,200
qwen3.6:27b,problem2,3,180026,0,0,200
qwen3.6:27b,problem3,1,180015,0,0,200
qwen3.6:27b,problem3,2,180017,0,0,200
qwen3.6:27b,problem3,3,180013,0,0,200
qwen3.6:27b,problem4,1,180019,0,0,200
qwen3.6:27b,problem4,2,180021,0,0,200
qwen3.6:27b,problem4,3,180013,0,0,200
qwen3.6:27b,problem5,1,180019,0,0,200
qwen3.6:27b,problem5,2,180012,0,0,200
qwen3.6:27b,problem5,3,180010,0,0,200
ministral-3:14b,problem1,1,16912,0,1,200
ministral-3:14b,problem1,2,14499,0,1,200
ministral-3:14b,problem1,3,15432,0,1,200
ministral-3:14b,problem2,1,8225,0,1,200
ministral-3:14b,problem2,2,8766,0,1,200
ministral-3:14b,problem2,3,10604,0,1,200
ministral-3:14b,problem3,1,14329,0,1,200
ministral-3:14b,problem3,2,11393,0,1,200
ministral-3:14b,problem3,3,10901,0,1,200
ministral-3:14b,problem4,1,3229,0,1,200
ministral-3:14b,problem4,2,3145,0,1,200
ministral-3:14b,problem4,3,2463,0,1,200
ministral-3:14b,problem5,1,6655,0,1,200
ministral-3:14b,problem5,2,4625,0,1,200
ministral-3:14b,problem5,3,6310,0,1,200
deepseek-coder-v2:16b,problem1,1,6698,0,1,200
deepseek-coder-v2:16b,problem1,2,8133,0,1,200
deepseek-coder-v2:16b,problem1,3,5734,0,1,200
deepseek-coder-v2:16b,problem2,1,4273,0,1,200
deepseek-coder-v2:16b,problem2,2,4526,0,1,200
deepseek-coder-v2:16b,problem2,3,4979,0,1,200
deepseek-coder-v2:16b,problem3,1,5057,0,1,200
deepseek-coder-v2:16b,problem3,2,4000,0,1,200
deepseek-coder-v2:16b,problem3,3,3358,0,1,200
deepseek-coder-v2:16b,problem4,1,2185,0,1,200
deepseek-coder-v2:16b,problem4,2,2113,0,1,200
deepseek-coder-v2:16b,problem4,3,2469,0,1,200
deepseek-coder-v2:16b,problem5,1,2381,0,1,200
deepseek-coder-v2:16b,problem5,2,1731,0,1,200
deepseek-coder-v2:16b,problem5,3,2071,0,1,200
devstral-small-2:24b,problem1,1,38509,0,1,200
devstral-small-2:24b,problem1,2,22439,0,1,200
devstral-small-2:24b,problem1,3,27158,0,1,200
devstral-small-2:24b,problem2,1,15277,0,1,200
devstral-small-2:24b,problem2,2,16412,0,1,200
devstral-small-2:24b,problem2,3,19562,0,1,200
devstral-small-2:24b,problem3,1,16145,0,1,200
devstral-small-2:24b,problem3,2,12499,0,1,200
devstral-small-2:24b,problem3,3,18505,0,1,200
devstral-small-2:24b,problem4,1,6391,0,1,200
devstral-small-2:24b,problem4,2,4881,0,1,200
devstral-small-2:24b,problem4,3,6034,0,1,200
devstral-small-2:24b,problem5,1,8531,0,1,200
devstral-small-2:24b,problem5,2,12535,0,1,200
devstral-small-2:24b,problem5,3,12070,0,1,200
gemma4:e2b,problem1,1,8754,0,1,200
gemma4:e2b,problem1,2,10941,0,1,200
gemma4:e2b,problem1,3,10663,0,1,200
gemma4:e2b,problem2,1,5273,0,1,200
gemma4:e2b,problem2,2,5518,0,1,200
gemma4:e2b,problem2,3,6607,0,1,200
gemma4:e2b,problem3,1,5517,0,1,200
gemma4:e2b,problem3,2,5574,0,1,200
gemma4:e2b,problem3,3,5202,0,1,200
gemma4:e2b,problem4,1,6082,0,1,200
gemma4:e2b,problem4,2,4174,0,1,200
gemma4:e2b,problem4,3,5014,0,1,200
gemma4:e2b,problem5,1,6971,0,1,200
gemma4:e2b,problem5,2,7903,0,1,200
gemma4:e2b,problem5,3,9545,0,1,200
